用户ID,特征,清洁效率,耗材,对比,时间
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：84%
日均清扫：45㎡
漏扫区域：沙发底部（高度不足）
春节前后杂物增加，建议开启重点区域清扫","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-01
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：85%
日均清扫：47㎡
漏扫区域：沙发底部（高度不足）
春节前后杂物增加，建议开启重点区域清扫","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-02
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：86%
日均清扫：49㎡
漏扫区域：沙发底部（高度不足）
清洁状态稳定","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-03
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：87%
日均清扫：45㎡
漏扫区域：沙发底部（高度不足）
清洁状态稳定","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-04
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：84%
日均清扫：47㎡
漏扫区域：沙发底部（高度不足）
清洁状态稳定","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率下降3%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-05
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：85%
日均清扫：49㎡
漏扫区域：沙发底部（高度不足）
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-06
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：87%
日均清扫：45㎡
漏扫区域：沙发底部（高度不足）
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升2%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-07
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：88%
日均清扫：47㎡
漏扫区域：沙发底部（高度不足）
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-08
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：85%
日均清扫：49㎡
漏扫区域：沙发底部（高度不足）
清洁状态稳定","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度
建议：本月进行主刷/边刷例行检查",较上月覆盖率下降3%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-09
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：86%
日均清扫：45㎡
漏扫区域：沙发底部（高度不足）
换季浮尘增加，建议增加拖地频次","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-10
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：87%
日均清扫：47㎡
漏扫区域：沙发底部（高度不足）
换季浮尘增加，建议增加拖地频次","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-11
1001,65㎡公寓 | 单身 | 木地板,"覆盖率：88%
日均清扫：49㎡
漏扫区域：沙发底部（高度不足）
清洁状态稳定","主刷寿命：剩余60天
HEPA滤网：剩余45天
边刷磨损：轻度
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；较上月覆盖率提升1%；建议保持每周2次深度清洁；沙发底部建议手动辅助清理,2025-12
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：87%
日均清扫：50㎡
避障失败：2次/月（电线缠绕）
春节前后杂物增加，建议开启重点区域清扫","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-01
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：88%
日均清扫：52㎡
避障失败：2次/月（电线缠绕）
春节前后杂物增加，建议开启重点区域清扫","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-02
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：89%
日均清扫：54㎡
避障失败：2次/月（电线缠绕）
清洁状态稳定","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-03
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：90%
日均清扫：50㎡
避障失败：2次/月（电线缠绕）
清洁状态稳定","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-04
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：87%
日均清扫：52㎡
避障失败：2次/月（电线缠绕）
清洁状态稳定","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率下降3%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-05
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：88%
日均清扫：54㎡
避障失败：2次/月（电线缠绕）
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-06
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：90%
日均清扫：50㎡
避障失败：2次/月（电线缠绕）
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升2%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-07
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：91%
日均清扫：52㎡
避障失败：2次/月（电线缠绕）
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-08
